#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
365000,-696512.7622940079,144413.31830173227,-552099.4439922756,303.07508230267763,543.1854528689607,238
370000,-697521.0968962912,143053.68990701245,-554467.4069892787,300.22167866597283,543.2156869225194,238
375000,-698194.3379620714,143355.22523097036,-554839.112731101,300.8545000996218,542.7161600252684,238
380000,-698040.7306455206,142836.77512841034,-555203.9555171103,299.766447353857,542.7530664792466,238
385000,-696256.0953985387,143316.09961339942,-552939.9957851393,300.77238856098467,542.947895021552,238
390000,-698051.6376904068,143262.3945906473,-554789.2430997594,300.6596797444982,543.5762384040759,238
395000,-697484.4679868221,143385.35102948913,-554099.1169573329,300.91772403888785,544.5616983715724,239
400000,-697784.5791617814,143150.6947107698,-554633.8844510115,300.42525918907313,542.9361120887,239
405000,-698455.3727937336,143715.45820624128,-554739.9145874924,301.6105082013141,544.0926092402419,239
410000,-697940.2353473543,142651.4977906276,-555288.7375567267,299.3776124108083,542.7519291237955,239
415000,-695679.1577788359,143110.70025356283,-552568.4575252731,300.34132424766887,545.0048092766185,238
420000,-697603.6457231408,143039.4320567834,-554564.2136663573,300.1917562240371,542.5551706693442,238
425000,-696762.7631234,143163.54140982497,-553599.2217135751,300.4522200983525,543.9707656272645,238
430000,-697434.3441356132,142709.70717831032,-554724.6369573029,299.4997743773789,542.8052609148268,238
