#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
265000,-724726.5188865908,144388.23284453095,-580338.2860420599,300.95077083139194,546.8302979574662,253
270000,-721965.2804513322,143426.2512384269,-578539.0292129053,298.94569673235253,546.2578274603529,253
275000,-726310.3563007908,144134.42729503236,-582175.9290057584,300.42175974608324,546.3450870262948,253
280000,-723994.8545090985,143844.70834982544,-580150.146159273,299.817893778845,547.575752385944,253
285000,-724805.6185327955,144176.81859524478,-580628.7999375507,300.51011663101866,545.4773709122593,252
290000,-723564.8941748259,144419.85702398463,-579145.0371508412,301.01668562926704,547.3469015668229,252
295000,-724016.6943926518,144818.8314234357,-579197.8629692161,301.8482745384968,547.0476749347197,252
300000,-725393.9718078617,143738.20881824536,-581655.7629896164,299.59591505183397,548.0086938574436,252
305000,-723790.6038638805,144991.1533113284,-578799.4505525521,302.20744788642656,547.071102475626,252
310000,-724805.3669329835,144686.00749725537,-580119.3594357282,301.57142744243276,545.9893396821323,252
315000,-724516.3764357045,144467.61370416853,-580048.7627315361,301.11622566400916,546.9803976917839,252
320000,-726382.3070022361,144481.85510407595,-581900.4518981602,301.14590924829724,545.7664436147318,252
325000,-725380.4434308764,145029.1140657232,-580351.3293651531,302.2865701117727,547.1414141622768,252
330000,-725530.7154985252,144306.6795853614,-581224.0359131638,300.78078803066524,548.3478722329962,252
335000,-723833.9040023815,144100.14084318312,-579733.7631591983,300.3502959300242,546.8560030855288,252
340000,-723864.7481919727,145143.02636587183,-578721.721826101,302.52399939435014,548.186501971674,252
345000,-725781.1863418934,144019.01057911175,-581762.1757627816,300.1811947849445,546.0434801377343,252
350000,-724404.7613580576,143997.2920718015,-580407.4692862561,300.13592654259844,547.4246407159128,252
355000,-724397.4262489891,144815.81783888655,-579581.6084101025,301.8419932746073,547.2359810343698,252
360000,-725103.2145748385,143353.76108750128,-581749.4534873372,298.79460431734776,546.3914593779197,252
365000,-725133.2507038228,144565.08230933934,-580568.1683944835,301.3193810824261,546.3333550019278,252
370000,-725289.5507097812,143216.48594739108,-582073.0647623902,298.5084794828079,546.2075608724566,252
375000,-724945.2517267554,145040.8504195886,-579904.4013071668,302.311032387354,546.4979888961308,252
380000,-724073.9498602962,144613.11842107796,-579460.8314392183,301.4195035409581,546.5192108943112,252
385000,-724353.2254583538,144173.90034812933,-580179.3251102244,300.5040340805119,548.6442905278786,252
390000,-725074.1286913627,144110.16214540752,-580963.9665459552,300.3711834952346,547.0871656222065,252
395000,-725575.4234424159,145039.25345022412,-580536.1699921917,302.30770379781615,544.2694590011962,252
400000,-725243.2986764805,143939.80813782167,-581303.4905386588,300.0161118326264,548.474113409161,252
405000,-725975.7698990898,144275.22857601097,-581700.5413230788,300.71523417408724,545.5498084087234,252
410000,-725664.3714821846,144970.14920144086,-580694.2222807438,302.16366867439,546.8471141776906,252
415000,-724490.9573344239,143790.96112127593,-580699.996213148,299.70586754552005,547.1886587020211,252
420000,-726602.551190896,143469.48751046063,-583133.0636804353,299.0358148059662,546.8712697551057,252
425000,-725594.0031410661,143959.41347332142,-581634.5896677447,300.0569755561779,546.7731928092977,252
430000,-723804.0525869885,144344.02188988955,-579460.0306970989,300.85862121077264,548.2628338655704,252
